tradeid;time;leagueid;items1;items2;owner1;owner2;rounds
639545425023578112;1606842173680;639301793117040640;"2021-02.12; 2021-08.12";"2021-02.01; 2021-03.01; 2021-08.01";328021397349617664;441473507826593792;32
639550146182471680;1606843564663;639301793117040640;"2021-03.06; 2021-04.06";"2021-02.08; 2021-08.08";567909474095558656;332799120194428928;32
639635194185334784;1606863862981;639301793117040640;"2021-10.04; 2021-03.04; 2021-04.04";"2021-10.05; 2021-03.05; 2021-04.05";470417813983457280;408729102976045056;32
641000478028693504;1607189007585;640318476837294080;2021-01.05;2021-01.03;602924105372606464;400550835118936064;29
641000925695148032;1607189050103;640318476837294080;2021-01.05;2021-01.03;400550835118936064;602924105372606464;29
641005956850880512;1607195825052;640318476837294080;2021-01.05;"2021-02.12; 2021-06.12";396475691765346304;400550835118936064;29
641016096387829760;1607193254402;640318476837294080;"2021-01.02; 2021-03.02";"2021-01.04; 2021-02.04";459219695099179008;554902621976363008;29
641048032523161600;1607201023038;640318476837294080;"2021-01.10; 2021-02.10";"2021-01.09; 2021-02.09";557352833121849344;466448216066355200;29
641062139724898304;1607204072081;640318476837294080;"2021-02.02; 2021-07.02";"2021-10.05; 2021-02.05";400550835118936064;554902621976363008;29
641064953842839552;1607204322062;640318476837294080;2021-02.12;2021-02.05;554902621976363008;400550835118936064;29
641083509200465920;1607210484787;640318476837294080;"2021-02.05; 2021-05.05";"2021-05.02; 2021-02.04";554902621976363008;400550835118936064;29
641094491503169536;1607211374838;640318476837294080;"2021-03.02; 2021-03.04; 2021-07.04";"2021-09.05; 2021-02.02; 2021-02.04";400550835118936064;459219695099179008;29
641112132229873664;1607215782284;640318476837294080;"2021-11.05; 2021-03.02";"2021-04.12; 2021-08.12";396475691765346304;400550835118936064;29
641114429848621056;1607216134048;640318476837294080;"2021-04.06; 2021-08.06";"2021-12.05; 2021-03.05";400550835118936064;639667707322658816;29
641116276877496320;1607217496040;640318476837294080;"2021-13.05; 2021-03.04";"2021-05.06; 2021-06.06";639667707322658816;400550835118936064;29
641119889561591808;1607217487113;640318476837294080;2021-02.11;"2021-03.06; 2021-07.06; 2021-09.06";639667707322658816;457730677622697984;29
641120337995575296;1607217718767;640421490646413312;"2021-01.11; 2021-02.11; 2021-04.11";"2021-01.10; 2021-02.10; 2021-04.10";621812265284378624;367873457070997504;28
641124529766227969;1607218777377;640421490646413312;2022-01;"2021-02.04; 2021-05.04";574668719235313664;462014039724126208;28
641129709404520448;1607219828527;640421490646413312;2022-01;"2021-03.04; 2021-04.04";574668719235313664;634991052519976960;28
641138013543436288;1607222017481;640421490646413312;2021-02.08;"2021-03.10; 2022-01";621812265284378624;634991052519976960;28
641144669023072256;1607223327471;639301793117040640;"2021-19.01; 2021-20.01";"2021-18.04; 2021-25.04";408729102976045056;328021397349617664;32
641154001957642240;1607226717464;640421490646413312;2022-01;"2021-04.11; 2021-06.10; 2021-08.10";621812265284378624;367873457070997504;28
641154558235615232;1607226710636;640421490646413312;"2021-02.02; 2021-09.02";"2021-03.11; 2021-05.11";367873457070997504;338062010799390720;28
641181836214607872;1607232223159;640991530219307008;"2021-02.11; 2021-03.11";"2021-01.01; 2021-05.01";517994224930623488;546092174298472448;30
641326608073949184;1607266821498;640421490646413312;"2022-01; 2021-12.10; 2021-07.10";"2021-04.02; 2021-05.02";338062010799390720;621812265284378624;28
641365824627863552;1607276135159;640421490646413312;"2021-06.08; 2021-07.08";"2021-10.10; 2021-05.10";621812265284378624;634991052519976960;28
641388081043554304;1607281426018;640318476837294080;"2021-06.03; 2021-09.03";2021-05.06;400550835118936064;602924105372606464;29
641421175003824128;1607289308904;640318476837294080;"2021-07.09; 2021-08.09";"2021-06.03; 2021-09.03";400550835118936064;557352833121849344;29
641425189791559680;1607294746580;640421490646413312;"2021-08.04; 2021-09.04; 2022-02";"2021-12.03; 2021-14.03; 2022-01";417609044493082624;574668719235313664;28
641458708253220864;1607298607446;640421490646413312;"2022-01; 2021-03.02; 2022-01; 2022-02; 2022-04";"2021-05.08; 2022-04; 2021-03.10; 2021-03.04";634991052519976960;338062010799390720;28
641477253959823360;1607303546499;640421490646413312;"2021-09.10; 2022-02";"2021-10.05; 2021-14.05";508880595821248512;621812265284378624;28
641488405016166400;1607305522175;640991530219307008;"2021-14.08; 2021-03.08; 2021-04.08";"2021-05.09; 2021-06.09; 2021-08.09";76895092614774784;641049258807603200;30
641523918708187136;1607314495772;640421490646413312;"2021-05.05; 2022-02";"2021-15.06; 2022-01";640799634201096192;508880595821248512;28
641543230873239552;1607318407123;640991530219307008;"2021-07.04; 2021-09.04";"2021-13.03; 2021-05.03";488106768686116864;425001588902330368;30
641546259605315584;1607319289038;640421490646413312;"2021-06.07; 2022-01; 2022-02";"2021-15.08; 2021-04.08";634991052519976960;637877766649376768;28
641651533917802496;1607347837846;640421490646413312;"2021-13.04; 2021-15.04";"2022-04; 2021-20.02; 2021-22.02; 2021-24.02; 2021-26.02; 2022-03";338062010799390720;574668719235313664;28
641674679752437760;1607349718432;639969403701735424;"2021-29.06; 2021-30.06";"2021-29.12; 2021-30.12";567841176683806720;567840430382096384;25
641684915666116608;1607352171835;640991530219307008;"2021-15.06; 2021-06.06; 2021-08.06";"2021-18.08; 2021-05.08; 2021-09.08";641049258807603200;567909474095558656;30
641691818144120832;1607356114627;640421490646413312;"2021-03.05; 2022-01; 2022-01";2021-01.04;574668719235313664;508880595821248512;28
641766031412666368;1607372450445;640318476837294080;"2021-11.10; 2021-13.10";"2021-10.12; 2021-17.12";396475691765346304;466448216066355200;29
641801035257651200;1607379929172;640318476837294080;2021-09.10;"2021-10.06; 2021-13.06";639667707322658816;466448216066355200;29
641830995246596096;1607387241746;640421490646413312;"2021-01.11; 2021-05.02";"2021-03.12; 2022-01";623748547824926720;621812265284378624;28
641870603267276800;1607435783697;640421490646413312;"2022-01; 2022-01; 2023-04";"2023-02; 2022-01; 2022-02; 2022-01; 2022-02";634991052519976960;574668719235313664;4
642158861154865152;1607465272948;641792599157600256;"2021-02.08; 2021-03.08";"2021-01.02; 2021-20.02";462232369793855488;515610837643173888;31
642179052396044288;1607469968194;641792599157600256;"2021-02.09; 2021-03.09";"2021-01.03; 2021-22.03";394215252612354048;548223357306863616;31
642237674865950720;1607483926899;640991530219307008;"2021-14.04; 2021-16.04";"2021-12.03; 2021-20.03";488106768686116864;425001588902330368;30
642258477586153472;1607489499743;641792599157600256;2021-02.10;"2021-03.06; 2021-05.06";456155264849014784;440202924245643264;31
642261024006832128;1607489493429;641792599157600256;"2021-01.10; 2021-04.10";"2021-01.11; 2021-03.11";483823418840444928;440202924245643264;31
642273060388450304;1607493040607;640991530219307008;"2021-13.07; 2021-18.07";"2021-14.06; 2021-16.06";567909474095558656;584431516893880320;30
642433709714259968;1607531105236;641792599157600256;"2021-10.04; 2021-02.04; 2021-06.04";"2021-15.05; 2021-02.05; 2021-08.05";513453987284135936;432195542018170880;31
642495778014736384;1607545471798;641792599157600256;"2021-14.03; 2021-03.03; 2021-05.03";"2021-11.11; 2021-04.11; 2021-04.10";483823418840444928;394215252612354048;31
642532558445297664;1607555589239;641792599157600256;"2021-04.06; 2021-07.06";"2021-04.12; 2021-08.12";424786818701987840;456155264849014784;31
642544722866421760;1607557328455;641792599157600256;"2021-05.11; 2021-06.11";"2021-04.09; 2021-08.09";548223357306863616;483823418840444928;31
642600909087514624;1607570657841;641792599157600256;"2021-06.06; 2021-09.06";"2021-13.08; 2021-05.08";515610837643173888;456155264849014784;31
642602774877528064;1607571298854;641792599157600256;2022-01;2021-09.02;462232369793855488;440202924245643264;31
642614651846213632;1607576790358;641792599157600256;2021-09.01;2022-01;456155264849014784;433583318613618688;31
642787930900873216;1607615863671;641482954014679040;2021-19.09;2021-20.06;461858777872723968;79408456180056064;23
642849487882125312;1607638671493;641792599157600256;"2021-13.10; 2021-09.10";"2021-10.06; 2021-11.06";456155264849014784;440202924245643264;31
642889708896104448;1607639401969;641792599157600256;"2021-14.10; 2021-07.10";"2021-11.03; 2021-08.03";394215252612354048;440202924245643264;31
642891074225913856;1607639752930;641792599157600256;"2021-15.08; 2021-07.08";"2021-10.09; 2021-09.09";548223357306863616;515610837643173888;31
642932241709826048;1607649577317;641792599157600256;"2021-12.05; 2022-02; 2021-10.04";"2021-16.10; 2021-08.10";440202924245643264;513453987284135936;31
