sleeper_id,weight,status,sport,fantasy_positions,college,player_id,practice_description,rotowire_id,active,position,number,last_name,height,injury_status,injury_body_part,injury_notes,practice_participation,high_school,team,sportradar_id,yahoo_id,years_exp,fantasy_data_id,hashtag,search_last_name,first_name,birth_city,espn_id,birth_date,search_first_name,news_updated,gsis_id,birth_country,birth_state,search_full_name,depth_chart_position,rotoworld_id,depth_chart_order,injury_start_date,stats_id,search_rank,pandascore_id,metadata,full_name,age
0,263,Inactive,nfl,TE,California,0,,5777,FALSE,TE,88,Stevens,"6'3""",,,,,Palos Verdes Peninsula (CA),,71b9b180-93be-4bbc-bc9f-c48b53933c7c,8862,12,3,#CraigStevens-NFL-FA-88,stevens,Craig,,11319,1984-09-01,craig,,,,,craigstevens,,4864,,,213961,9999999,,,Craig Stevens,36
1,234,Inactive,nfl,QB,Tulsa,1,,8833,FALSE,QB,2,Kinne,"6'2""",,,,,,,a668bd7d-56e5-45ff-a2c8-d618cd1fef95,26154,1,18,#GJKinne-NFL-FA-2,kinne,GJ,,15299,1988-12-01,gj,,,,,gjkinne,,,,,399453,9999999,,,GJ Kinne,28
2,300,Inactive,nfl,OL,Rutgers,2,,5809,FALSE,C,64,Zuttah,"6'4""",,,,,Stevens (NJ),,fcaa51ea-0923-4afc-a7cf-22e47a14acf4,8860,12,127,#JeremyZuttah-NFL-FA-64,zuttah,Jeremy,,11317,1986-06-01,jeremy,,,,,jeremyzuttah,,4836,,,,9999999,,,Jeremy Zuttah,34
3,250,Inactive,nfl,LB,Michigan,3,,5342,FALSE,LB,45,Harris,"6'2""",,,,,Ottawa Hills (MI),,c348bf8a-bc99-45fb-b1c8-04f487418d3c,8301,13,184,#DavidHarris-NFL-FA-45,harris,David,,10491,1984-01-21,david,1.51942E+12,,,,davidharris,,4197,,,215498,9999999,,,David Harris,36
4,211,Inactive,nfl,WR,Alabama-Birmingham,4,,4350,FALSE,WR,84,White,"6'0""",,,,,James Island (SC),,51e470b5-73ea-49b2-ae83-c26256a30812,7203,15,204,#RoddyWhite-NFL-FA-84,white,Roddy,,8442,1981-11-02,roddy,,,,,roddywhite,,3161,,,166675,9999999,,,Roddy White,38
5,252,Inactive,nfl,TE,Iowa,5,,,FALSE,TE,87,Clark,"6'3""",,,,,,,,,11,244,#DallasClark-NFL-FA-87,clark,Dallas,,,1979-06-12,dallas,,,,,dallasclark,,,,,,9999999,,,Dallas Clark,38
6,311,Active,nfl,DL,California,6,,5393,TRUE,NT,92,Mebane,"6'1""",,,,,Crenshaw (CA),,1c5a8bd4-1b02-458e-943d-c391d3f0258e,8339,13,292,#BrandonMebane-NFL-FA-92,mebane,Brandon,,10529,1985-01-15,brandon,1.58413E+12,00-0025472,,,brandonmebane,NT,4367,1,,,9999999,,,Brandon Mebane,35
7,214,Inactive,nfl,QB,Northern Iowa,7,,,FALSE,QB,13,Warner,"6'2""",,,,,,,,,0,297,#KurtWarner-NFL-FA-13,warner,Kurt,,,1971-06-22,kurt,,,,,kurtwarner,,1256,,,,9999999,,,Kurt Warner,47
8,275,Inactive,nfl,DL,Eastern Michigan,8,,5721,FALSE,DE,73,Jones,"6'5""",,,,,Lathrup (MI),,06809e0e-1a00-4ff0-9f86-8a33d42fcd81,8831,12,322,#JasonJones-NFL-FA-73,jones,Jason,,11288,1986-05-23,jason,,,,,jasonjones,,4860,,,271592,9999999,,,Jason Jones,34
9,215,Inactive,nfl,P,Western Illinois,9,,3210,FALSE,P,5,Scifres,"6'2""",,,,,Destrehan (LA),,10cbd345-4c04-4f4a-96e0-b7f398c751d9,6485,17,383,#MikeScifres-NFL-FA-5,scifres,Mike,,4607,1980-10-08,mike,,,,,mikescifres,,,,,,9999999,,,Mike Scifres,39
