Sleeper_ID;ADP;Player_Name;Last_Month;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;All_Year
4046;1;"Patrick Mahomes,QB";73;53;54;60;73;110;16;0;0;0;0;0;0;366
4984;3;"Josh Allen,QB";55;38;41;56;69;77;23;0;0;0;0;0;0;304
4034;3;"Christian McCaffrey,RB";122;68;64;80;97;169;38;0;0;0;0;0;0;516
5849;4;"Kyler Murray,QB";87;58;49;70;88;107;30;0;0;0;0;0;0;402
6797;6;"Justin Herbert,QB";76;49;64;74;66;109;18;0;0;0;0;0;0;380
4881;7;"Lamar Jackson,QB";104;65;61;93;83;148;23;0;0;0;0;0;0;473
3294;8;"Dak Prescott,QB";81;69;75;72;75;138;18;0;0;0;0;0;0;447
6813;9;"Jonathan Taylor,RB";103;49;48;78;84;139;21;0;0;0;0;0;0;419
4866;9;"Saquon Barkley,RB";152;86;80;108;127;205;38;0;0;0;0;0;0;644
4029;9;"Dalvin Cook,RB";121;82;74;90;120;158;35;0;0;0;0;0;0;559
4035;12;"Alvin Kamara,RB";141;83;78;103;126;219;31;0;0;0;0;0;0;640
7523;13;"Trevor Lawrence,QB";43;0;4;7;7;41;14;0;0;0;0;0;0;73
6770;16;"Joe Burrow,QB";101;78;73;74;90;140;33;0;0;0;0;0;0;488
3321;16;"Tyreek Hill,WR";98;49;59;73;89;146;26;0;0;0;0;0;0;442
6938;17;"Cam Akers,RB";165;101;79;97;123;196;53;0;0;0;0;0;0;649
6794;17;"Justin Jefferson,WR";112;54;75;105;101;153;29;0;0;0;0;0;0;517
1234;18;"Russell Wilson,QB";86;68;53;95;120;147;25;0;0;0;0;0;0;508
5859;19;"A.J. Brown,WR";131;63;67;101;94;148;39;0;0;0;0;0;0;512
3198;20;"Derrick Henry,RB";132;77;74;92;102;198;29;0;0;0;0;0;0;572
4988;22;"Nick Chubb,RB";146;58;66;86;103;196;41;0;0;0;0;0;0;550
7528;22;"Najee Harris,RB";84;0;6;9;14;90;26;0;0;0;0;0;0;145
6790;23;"D'Andre Swift,RB";170;71;82;102;143;219;48;0;0;0;0;0;0;665
1466;23;"Travis Kelce,TE";102;59;63;68;87;161;28;0;0;0;0;0;0;466
5846;24;"DK Metcalf,WR";109;64;69;107;101;165;35;0;0;0;0;0;0;541
6806;27;"J.K. Dobbins,RB";180;86;79;120;138;219;60;0;0;0;0;0;0;702
4217;28;"George Kittle,TE";121;63;61;74;88;184;34;0;0;0;0;0;0;504
7553;28;"Kyle Pitts,TE";89;0;8;10;9;79;31;0;0;0;0;0;0;137
6945;29;"Antonio Gibson,RB";147;99;85;148;137;206;48;0;0;0;0;0;0;723
2449;29;"Stefon Diggs,WR";118;57;58;64;90;176;32;0;0;0;0;0;0;477
7610;30;"Trey Lance,QB";70;0;1;6;14;72;26;0;0;0;0;0;0;119
2133;31;"Davante Adams,WR";113;61;59;70;95;169;39;0;0;0;0;0;0;493
3164;32;"Ezekiel Elliott,RB";178;101;81;100;148;249;50;0;0;0;0;0;0;729
2505;32;"Darren Waller,TE";108;56;46;65;89;173;26;0;0;0;0;0;0;455
6820;33;"Clyde Edwards-Helaire,RB";166;107;112;136;137;254;47;0;0;0;0;0;0;793
4981;33;"Calvin Ridley,WR";132;55;63;93;83;173;42;0;0;0;0;0;0;509
7591;34;"Justin Fields,QB";94;0;5;12;12;99;28;0;0;0;0;0;0;156
6786;35;"CeeDee Lamb,WR";135;65;71;87;107;198;40;0;0;0;0;0;0;568
7564;37;"Ja'Marr Chase,WR";87;0;4;14;15;71;31;0;0;0;0;0;0;135
4663;38;"Austin Ekeler,RB";169;86;84;114;120;218;48;0;0;0;0;0;0;670
1426;38;"DeAndre Hopkins,WR";140;63;80;76;101;213;32;0;0;0;0;0;0;565
4199;39;"Aaron Jones,RB";136;75;75;106;121;193;35;0;0;0;0;0;0;605
4018;40;"Joe Mixon,RB";189;116;133;145;161;276;61;0;0;0;0;0;0;892
